City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
401,Havre-Saint-Pierre,CA,50.23,-63.6,73.4,83,1,10.29,clear sky,0,0
402,Mezdra,BG,43.15,23.7,60.8,72,40,14.99,scattered clouds,0,0
403,Santa Maria,BR,-29.68,-53.81,59.0,87,40,2.24,scattered clouds,0,0
404,Vengerovo,RU,55.68,76.75,56.05,83,14,7.56,few clouds,0,0
405,Mindelo,CV,16.89,-24.98,77.0,73,75,16.11,broken clouds,0,0
406,Luanda,AO,-8.84,13.23,69.8,83,14,5.82,few clouds,0,0
407,Puerto Madryn,AR,-42.77,-65.04,42.37,60,0,20.31,clear sky,0,0
408,Saint-Joseph,RE,-21.37,55.62,64.4,72,22,9.17,light rain,0,0
409,Mezhgorye,UA,44.97,34.42,66.38,53,0,4.61,clear sky,0,0
410,Bani,DO,18.28,-70.33,87.8,62,75,11.41,broken clouds,0,0
411,Algiers,DZ,36.75,3.04,75.2,88,40,13.87,scattered clouds,0,0
412,Les Escoumins,CA,48.11,-69.02,63.99,98,63,10.71,broken clouds,0,0
413,Turbat,PK,26.0,63.04,80.98,82,17,6.26,few clouds,0,0
414,Jever,DE,53.58,7.9,53.6,81,89,4.27,overcast clouds,0,0
415,Beberibe,BR,-4.18,-38.13,78.8,74,27,9.17,light rain,0,0
416,Itaporanga,BR,-7.3,-38.15,77.79,56,93,4.72,overcast clouds,0,0
417,Santa Cruz,BO,-17.8,-63.17,78.8,73,40,14.99,scattered clouds,0,0
418,Nieuw Nickerie,SR,5.95,-56.98,79.95,85,86,11.25,light rain,0,0
419,Karlshamn,SE,56.17,14.86,57.99,93,5,3.36,clear sky,0,0
420,Awbari,LY,26.59,12.78,87.53,14,0,10.11,clear sky,0,0
421,Stephenville,US,32.22,-98.2,104.0,29,1,5.82,clear sky,0,0
422,Pitanga,BR,-24.76,-51.76,59.63,96,0,2.42,clear sky,0,0
423,Chillicothe,US,39.33,-82.98,80.01,65,40,3.36,scattered clouds,0,0
424,Tabou,CI,4.42,-7.35,75.22,80,88,7.09,overcast clouds,0,0
425,Teya,RU,60.38,92.63,59.13,78,71,4.63,broken clouds,0,0
426,Salekhard,RU,66.53,66.6,56.28,97,100,7.07,light rain,0,0
427,Dalbandin,PK,28.89,64.41,79.92,20,0,4.99,clear sky,0,0
428,Touros,BR,-5.2,-35.46,75.2,83,20,5.82,few clouds,0,0
429,Virginia Beach,US,36.85,-75.98,93.99,34,40,10.29,scattered clouds,0,0
430,Sayat,TM,38.78,63.88,84.2,28,0,6.93,clear sky,0,0
431,Kerman,IR,30.28,57.08,80.6,21,63,9.17,broken clouds,0,0
432,Bereda,ES,43.27,-7.54,63.0,97,2,5.99,clear sky,0,0
