City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Vila Velha,BR,75.2,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
83,Guarapari,BR,75.2,few clouds,-20.67,-40.5,Hotel Porto do Sol
86,Marzuq,YE,84.13,broken clouds,14.4,46.47,
95,Veraval,IN,82.89,light rain,20.9,70.37,Lords Inn Somnath
98,Atima,HN,75.06,light rain,14.93,-88.48,Destacamento del Bosque ATIMA
99,Kochinda,IN,76.96,moderate rain,21.73,84.35,Shristi Lodge
104,Aktau,KZ,77.0,few clouds,43.65,51.2,Silk Way Hotel
106,Miraflores,MX,78.8,scattered clouds,19.22,-98.81,Hotel Mansión
107,Bozova,TR,80.6,clear sky,37.36,38.53,BONFİL. DÖNER. SALONU.
111,Tahoua,NE,84.2,overcast clouds,14.89,5.27,Bungalows Guesthouse
112,Kutum,SD,77.16,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
116,Maracaibo,VE,85.08,moderate rain,10.63,-71.64,Motel Aladdin
119,Nantucket,US,77.0,clear sky,41.28,-70.1,Jared Coffin House
126,Oussouye,SN,80.6,broken clouds,12.48,-16.55,Auberge du Routard
129,Alvorada,BR,79.21,broken clouds,-12.48,-49.12,Cristal Plaza Hotel
132,Albany,US,86.0,clear sky,42.6,-73.97,
136,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
138,Bud,US,82.99,broken clouds,39.45,-86.18,Madsion Scouts Camp
139,Viransehir,TR,82.58,clear sky,37.24,39.76,Viranşehir Öğretmenevi
140,Mandera,KE,79.75,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
146,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
150,Gwadar,PK,83.71,broken clouds,25.12,62.33,Sadaf Resort
152,Puerto Carreno,CO,86.0,scattered clouds,6.19,-67.49,Casa Hotel Victoria
157,Corinto,GR,78.01,clear sky,37.94,22.96,Ephira Hotel
167,Dingle,PH,76.78,light rain,11.0,122.67,Camp Pasica
170,Hamilton,US,78.8,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
172,Nioro,GM,76.32,overcast clouds,13.35,-15.75,
174,Oistins,BB,84.2,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
177,Vilhena,BR,76.95,few clouds,-12.74,-60.15,Hotel Mirage
178,Kibala,TD,80.6,overcast clouds,9.11,18.35,
179,Trincomalee,LK,81.03,overcast clouds,8.57,81.23,Welcombe Hotel
180,Pontes E Lacerda,BR,80.24,overcast clouds,-15.23,-59.34,Hotel Bressan
